ecart_date,action,label,count
87,ajustement_mensualites,,1
59,ajustement_mensualites,,1
188,contact,,1
55,ajustement_mensualites,,1
67,rgpd_rapport_utilisateur,,1
353,ajustement_mensualites_confirmation,,1
98,netatmo-synchronisation,,1
84,netatmo-synchronisation,,1
276,contact,,1
256,rgpd_rapport_utilisateur,,1
163,rgpd_rapport_utilisateur,,1
20,contact,,1
126,netatmo-suppression,,1
-17,signature_cpv,,1
226,ajustement_mensualites,,1
156,rgpd_rapport_utilisateur,,1
181,rgpd_rapport_utilisateur,,1
30,ajustement_mensualites,,1
333,contact,,1
13,netatmo-synchronisation,,1
116,ajustement_mensualites,,1
117,netatmo-synchronisation,,1
200,signature_mandat_sepa,,1
291,netatmo-synchronisation,,1
3,contact,,1
369,contact,,1
262,netatmo-synchronisation,,1
204,netatmo-suppression,,1
151,rgpd_rapport_utilisateur,,1
226,signature_cpv,,1
137,netatmo-synchronisation,,1
323,signature_mandat_sepa,,1
243,signature_mandat_sepa,,1
244,netatmo-synchronisation,,1
305,signature_mandat_sepa,,1
393,cap_eco_conso-inscription,,1
34,contact,,1
154,ajustement_mensualites,,1
260,rgpd_rapport_utilisateur,,1
60,netatmo-synchronisation,,1
284,contact,,1
218,rgpd_rapport_utilisateur,,1
249,signature_mandat_sepa,,1
361,signature_mandat_sepa,,1
47,ajustement_mensualites,,1
84,contact,,1
108,netatmo-suppression,,1
297,netatmo-synchronisation,,1
53,netatmo-suppression,,1
273,contact,,1
14,contact,,1
166,rgpd_rapport_utilisateur,,1
260,contact,,1
85,ajustement_mensualites,,1
239,netatmo-synchronisation,,1
263,netatmo-synchronisation,,1
299,rgpd_rapport_utilisateur,,1
335,netatmo-synchronisation,,1
166,ajustement_mensualites,,1
186,ajustement_mensualites,,1
215,signature_mandat_sepa,,1
80,signature_mandat_sepa,,1
235,netatmo-suppression,,1
22,netatmo-synchronisation,,1
-29,cap_eco_conso-inscription,,1
352,contact,,1
330,signature_cpv,,1
297,ajustement_mensualites_confirmation,,1
187,signature_mandat_sepa,,1
77,contact,-,1
294,contact,-,1
361,saisie_d_index,E,1
169,saisie_d_index,E,1
-14,saisie_d_index,E,1
-25,saisie_d_index,E,1
209,saisie_d_index,E,1
-28,saisie_d_index,E,1
205,saisie_d_index,E,1
356,saisie_d_index,E,1
338,saisie_d_index,E,1
240,saisie_d_index,E,1
351,saisie_d_index,E,1
168,saisie_d_index,E,1
-10,saisie_d_index,E,1
-20,saisie_d_index,E,1
-9,saisie_d_index,E,1
341,saisie_d_index,E,1
231,saisie_d_index,E,1
349,saisie_d_index,E,1
363,saisie_d_index,E,1
109,saisie_d_index,E,1
-17,saisie_d_index,E,1
346,saisie_d_index,E,1
353,saisie_d_index,E,1
226,saisie_d_index,E,1
-12,saisie_d_index,E,1
228,saisie_d_index,E,1
-16,saisie_d_index,E,1
377,saisie_d_index,E,1
368,saisie_d_index,E,1
354,saisie_d_index,E,1
331,saisie_d_index,E,1
165,saisie_d_index,E,1
273,saisie_d_index,E,1
